date,median_1y_ret,sse_composite_1y_ret,sse_composite,n_eligible
2020-07-08,0.07721340564525836,0.14129975589470645,3403.4401,3781
2020-07-09,0.10083744780376702,0.15936310103771367,3450.5935,3783
2020-07-10,0.08507751503125904,0.12898109799123225,3383.3222,3783
2020-07-13,0.1363643813008566,0.15590025427019794,3443.2863,3783
2020-07-14,0.10739457591173673,0.12142121581023857,3414.6186,3786
2020-07-15,0.08084898569186816,0.1042600406288845,3361.3044,3785
2020-07-16,0.04417799752781204,0.06461634710308717,3210.0986,3785
2020-07-17,0.04414895535121688,0.06950502733750374,3214.1287,3788
2020-07-20,0.0830171071952377,0.10065901071078387,3314.149,3786
2020-07-21,0.11771574881811109,0.13211158903803044,3320.8947,3790
2020-07-22,0.11911029058786049,0.13828629210927623,3333.1635,3790
2020-07-23,0.12117457723216474,0.1405713616927946,3325.1102,3791
2020-07-24,0.07872780801141932,0.09562383949966557,3196.7684,3793
2020-07-27,0.07950915605808373,0.09373017221158286,3205.2268,3794
2020-07-28,0.08051652553306288,0.09713021814091727,3227.9604,3794
2020-07-29,0.09748467048673481,0.12150505811377443,3294.5521,3799
2020-07-30,0.09955428426598134,0.12113459644438862,3286.822,3801
2020-07-31,0.13206159110350724,0.1409186534870026,3310.0065,3802
2020-08-03,0.16161987507366304,0.1517560730956693,3367.9658,3802
2020-08-04,0.1879953345744113,0.16789673201074895,3371.6875,3803
2020-08-05,0.18318923942970367,0.1646997670231356,3377.5648,3805
2020-08-06,0.16568132109453082,0.1584473591713409,3386.4631,3807
2020-08-07,0.14460494218869835,0.14185359840626965,3354.0352,3805
2020-08-10,0.16047849870655806,0.1476329927143143,3379.2524,3808
2020-08-11,0.13934509368733772,0.13576404272414178,3340.29,3805
2020-08-12,0.13260477573893392,0.12428362291679118,3319.2656,3809
2020-08-13,0.14634382234568488,0.13238517720919774,3320.7261,3810
2020-08-14,0.15530996993689716,0.1551629797653027,3360.0988,3812
2020-08-17,0.19326844109039287,0.19909195695042148,3438.801,3812
2020-08-18,0.21517984179370342,0.2231418250965258,3451.0894,3812
2020-08-19,0.23651344441576905,0.22702437779920115,3408.1288,3813
2020-08-20,0.2310960153866598,0.214983099343929,3363.8988,3815
2020-08-21,0.23078639152258806,0.2097402864852449,3380.6825,3814
2020-08-24,0.2503371941917122,0.2201583549845081,3385.6383,3815
2020-08-25,0.22772205611721952,0.19843154927768247,3373.5781,3816
2020-08-26,0.21101038265195404,0.1903574484112951,3329.7388,3817
2020-08-27,0.2218004964221948,0.19267164619387134,3350.1128,3819
2020-08-28,0.23050964924613637,0.20882502350310972,3403.8066,3819
2020-08-31,0.2274191449209344,0.20251040450894986,3395.6775,3820
2020-09-01,0.19995793462218714,0.1829667829305719,3410.6068,3821
2020-09-02,0.21185194639438398,0.1822223199073667,3404.8017,3825
2020-09-03,0.1929555314495497,0.17520554150257817,3384.9806,3826
